"English","Danish","Dutch","Finnish","French","German","Indonesian","Italian","Japanese","Latin","Norwegian","Portugese","Spanish","Swahili","Swedish"
"address","adresse","adresseren","osoite","laïus, adressez, accostage, destination, adresser","Anschrift {m}, Adresse {f}","alamat","rivolgere la parola, indirizzo, nominativo","uwagaki, atena, ikisaki, juukyo, atesaki, kouen","-","adresse","endereço","dirección, señas, direccion, direccion, dirigir","anwani","rikta, utanskrift, adressera, tilltala, tilltal"
"advertisement","reklame, annonce","bericht, aankondiging, advertentie","mainos, ilmoitus","réclame, annonce","Ankündigung {f}, Ankündigung {f}","adpertensi, pemberitahuan, iklan","inserzione, annuncio, pubblicità, denuncia, avviso","ado, adobataizumento, koukoku","-","annonse","anúncio, propaganda","indicacion, anuncio, reclamo","tangazo","annons, reklam"
"advice","råd","raad, raadgeving, advies","neuvoa","conseil","Hinweisgabe, Beratung, Ratschlag, Ratschlag, Rat","nasehat, nasihat","consigliere, consiglio","jogon, susume, jogen, kankoku, chuukoku, keikoku","-","råd","conselho","consejo","shauri","råd, avi"
"advise","råde","adviseren, bekendmaken, aankondigen","neuvoa","avisent, avisez, conseiller, avisons, conseillent","raten, benachrichtigen, anraten, mitteilen, raten","mensasihatkan","consigliare","kan","monere","-","recomende, aconselhar","adivinar, aconsejar","-","råda"
"aeroplane","flyvemaskine","vliegmachine, vliegtuig","lentokone","avion","Flugzeug","pesawat terbang","aeroplano, velivolo","hikouki","-","fly","avião","avión, aeroplano","-","flygplan"
"affair","anliggende","zaak, aangelegenheid, ding, affaire","asia","affaire, chose","Affäre {f}, Angelegenheit {f}, Angelegenheit {f}","perkara","affare, faccenda","kyoku, gi, afea, sata, shiromono, kotogara, jiken","causa, res","anliggende, affære, sak","caso, assunto","asunto, particular","jambo","-"
"after","efter","achter","jälkeen","après, derrière, après que","nachdem, hinter, nach, nach","sesudah","in, dopochè, dopo, dopo questo","sugi, afuta-","post","etter, bak","depois, em seguida, trás","después, detrás, posterior, después de, después","baada ya, nyuma ya","efter"
"afternoon","eftermiddag","namiddag, middag","iltapäivä","après-midi","Nachmittag","petang","pomeriggio","gogo, afutanu-n, gogo, hirusugi","-","ettermiddag","tarde","-","alasiri","eftermiddag"
"afterwards","derefter","naderhand, dan, achteraf, daarna","sitten","puis, ensuite","rückwärts, nachher","-","in, in seguito, dopo questo","atode, nochihodo","postea","bak","mais tarde","posterior, después, pos, despues","-","efter, efteråt, sedan"
"again","igen","opnieuw, van voren af aan, nogmaals","jälleen","de nouveau","nochmals, wieder, abermals","pula, lagi","da capo, nuovamente","mou, sai, aratamete, matashitemo, kotoatarashiku","-","igjen, pånytt","outra vez","otra vez, bis, bis, de nuevo, una vez más","tena","ånyo, igen"
"against","imod","met, tegenaan, tegen, jegens","vastaan","en retour, moyennant, contre","dagegen, wieder(um), ferner, gegen","lawan","in confronto, inverso, contro","agensuto, tai","contra","-","contra, de encontro","en contra, hacia, contra","juu ya","emot, åter, mot"
"age","alder, epoke","leeftijd, ouderdom","ajanjakso, ikä","viellir, viellissez, époque, viellissent, viellis","Alter {n}, Lebensalter, Lebensdauer {f}, Alter {n}","umur","vecchiezza, età","toshigoro, nendai, e-ji, jurei, nenrei, ichidai","ætas","alder","idade","edad","umri","tidsålder, ålder"
"ahead","fremad, forhen","daarvoor, eerder, vooraan, indertijd","-","autrefois, auparavant","oben, vorne, voraus, vorn, geradeaus","sebelumnya","davanti, avanti","maeni, sakini, aheddo, osakini","ante","-","antes, diante, adiante","adelante, anteriormente, delante","mbele","förut"
"aid","assistent, hjælp, hjælpe","assistent, famulus, helper, hulp","auttaa","aider, aide, assister, secourir","helfen, Beihilfe, Hilfsmittel, Hilfe","bantuan, membantu, pembantu, bantu","aiutare","kyuujo, sewa, hosa, fujo, shien, kyuugo, kyuusai","auxilium","hjelpe","ajudar","ayudar, acorro","msaada","hjälp"
"air","luft","lucht","ilma","souffle, air, éventer","Luft, Miene","angin, hawa, udara","aria, arietta, etere","tei, kuuki, ea, fuzei, kuuchuu, ea-, tenkuu","ær","luft","ar","aire, airear","hewa","luft, lufta, vädra"
"ale","øl","bier","olut","bière","Bier, Tal, Bier","-","birra","-","cervisia, cerevisia","øl","cerveja inglêsa, cerveja","ale, cerveza","pombe","öl"
"alien","fremmed, udenlandsk, modsat","ijselijk, afschuwelijk","vieras","hideux","fremd, fremder","asing","-","e-rian, takokujin, eirian, iseijin","advena, allophylus, barbaricus","fremmed","estrangeiro","extranjero","a kigeni","-"
"all","al, alle","de hele ... door","jokainen","toute, toute, chaque, chacun","alle, alle, jeder, sämtliche","tiap","ogni cosa, tutti","arankagiri, issai, bantan, sukkari, tomo, menmen","-","alt, alle","todo, tudo","todos, cada","ote, kila","samtliga, all, allting, allt"
"almost","næsten","schier, bijkans, haast, bijna","melkein","-","fast, nahezu, beinahe, meist, fast","hampir","quasi","mazu, ayauku, hobo, hakkubu, kubu, arakata","fere, pæne, prope","nesten","quase","casi","-","nästan"
"alone","alene","louter, alleen, verlaten, enig","yksin","seul","entlang, einsam, allein, allein, alleine","sendiri","solo, unico","tandokude, tanshin, hitoribocchi, hitori, hitoride","solus, solum","alene","sozinho","único, solo, solamente, solo","tu","allena, ensam"
"already","allerede","al, reeds, alvast, alreeds","jo","déjà","schon, schon, bereits/schon, bereits","sudah","già","sudeni, mohaya, kanegane, mou, senkoku, kanete","iam","-","já","ya","-","redan"
"Also","også","evenzeer, ook, mede, eveneens","myös","aussi","außerdem, ferner, auch, auch/ebenso, auch","-","anche","mata, yappari, yahari, nimo","-","også","também, tambén","también, tambien","pia","med, även, likaså, också, tillika"
"amount","beløb, sum, antal, tal","tal, aantal, getal","summa","nombre, somme, montant","Betrag, Betrag, gelesene/Betrag, Summe","jumlah","importo","teido, bunryou, ryou, taka, kagaku","summa","beløp, nummer","uma quantidade","importe, suma, monta, número","-","belopp, antal"
"and","og","en","ja","et","sowohl, und, und","-","e","soshite, ken, oyobi, narabini, kyou, hatamata","ac, atque, et","og","e","y, e","na","och, samt"
"angel","engel","engel","enkeli","ange","Engel","-","angelo","mitsukai, tenshi, tennotsukai, enzeru","angelus","-","anjo","ángel","malaika","ängel"
"Animal","dyr","dierlijk","eläin","bête, animal","Tier","-","animale","ikimono, animaru, doubutsu","bestia, animal, fera","dyr","animal","animal, bestia","mnyama","animal, djur"
"answer","svar, svare","antwoorden, antwoorden op","vastata","réponse, répondent, répondons, réponds, répliquer","Lösung {f}, Antwort {f}","-","rispondere, corrispóndere, rispondere, risposta","ninoku, kaitou, kaitou, touben, kotae, henji","responsum, respondere","svare","responder, resposta","contestar, contestar, respuesta, contestacion","jibu","besked, besvara, svar, bemöta, svara"
"apple","æble","appel","omena","pomme","Apfel {m}","-","mela","appuru","-","eple","maçã","manzana","tunda la kizungu","äpple"
"approximately","omtrent","ongeveer, een stuk of, circa","noin","environ","annäherungsweise, ungefähr {m}, annähernd/etwa","lebih kurang","circa, verso","ooyoso, bakari, hobo, ooyoso, yaku, sokora, oyoso","circa","-","cerca, aproximadamente","proximamente, apróximadamente, aproximadamente","-","omkring"
"april","april","grasmaand, april","huhtikuu","avril","April {m}","April","aprile","shigatsu","Aprilis","april","Abril","abril","Aprili","april"
"arm","arm","bewapenen, wapenen","käsivarsi","armez, arment, armer, armons, pauvre, bras","Arm {m}, Arm {m}, Armlehne {f}, Abzweigung {f}","lengan","regolare, manica, armare, povero","ude, a-mu","bracchium, armare","arm","braço","brazo","mkono","arm, bestycka, rusta, väpna, beväpna"
"art","kunst","kunst","taide","artistique, art","Kunstgriff, Kunst, Kunst, Künstlichkeit","-","arte, art","jutsu, gijutsu, bijutsu, jin'i, waza, geijutsu","ars","kunst","arte","ma a, arte","-","konst"
"article","ting, artikel","handelsartikel, artikel","esine","article, apport, objet","Artikel {m}, Gegenstand","benda","oggetto, artìcolo, quota","shiromono, kajou, bukken, bunshou, a-tikuru, shina","articulus","ting","artigo, objecto","objecto, artículo, articulo","kitu","vara, artikel, persedel"
"ash","ask, aske","as","tuhka","frêne, cendre","Esche, Asche {f}","abu","cenere, frassino","kaijin, kaibun, hai","cinis","-","cinza, freixo","fresno, ceniza","-","ask"
"ask","bede, spørge","vragen","pyytää, kysyä","demandons, demander, demandez, demandent, inveterà","fragen, verlangen, bitten, fragen, auffordern","minta","pregano, chièdere, invitare, esìgere, interrogare","-","quærere, petere, rogare","spørre, spørre","rogar, perguntar, peça","orar, rogar, preguntar, invitar, gana","-","fråga"
"asparagus","asparges","asperge","parsa","asperge","Spargel","-","asparago","asuparagasu","asparagus","asparges","espargo, espargos","esparrcgos, espárrago","-","sparris"
"ass","æsel","ezel","aasi","aliboron, ane, âne","Esel, Esel, Dummkopf","-","àsino, allocco","ketsunoana","asinus","esel","burro","asno, adoquín, burro","punda","åsna"
"assist","hjælpe","helpen, assisteren, bijstaan","auttaa","assister, assistez, aider, alimenter, assistent","helfen, fördern, assistieren","bantu ... membantu, membantu, bantu","promuovere, aiutare","ashisuto, kyou","-","hjelpe","ajudar, assistência","asistir, promover, ayudar","-","hjälpa, bistå, assistera"
"at present","nu","-","nyt","momentané, présent, maintenant","gegenwärtig, im Augenblick","-","presente","mokka","nunc","nå","ora, agora","ahora, instantaneo, actualmente","sasa","för tillfället, för närvarande"
"attack","angreb, angribe","aangrijpen, aantasten, aanvallen","hyökätä","attaquent, attaquez, assau, accès, attaque","Anfall {m}, angreifen, angriff","-","assalire, attacco, assalto","raishuu, atakku, batsu, shuurai, kougeki, seme","oppugnare, appugnare","angrep, angripe","ataque","acceso, atacar, acometer","-","anfall, angrepp, överfalla, överfall, anfalla"
"attempt","bestræbe sig, prøve, forsøge, forsøg","streven, trachten, pogen, moeite doen","koettaa, ponnistella","démarche, attentat, attentent, requête, attentons","Versuch, versuchen","coba ... mencoba","esperimentare, esperimento, attentato, operazione","kikyuu, kuwadate","-","forsøke, prøve","esforço, tentativa, provar","carnet, acometida, intentar, catar, carné, ensayo","-","försök, attentat"
"attend","besøge, pleje","verplegen, zorgen voor, verzorgen","hoitaa, käydä vieraissa","visiter, soigner","bedienen, erledigen, teilnehmen","mengunjungi, kunjungi","evàdere, servire, partecipare, assìstere, visitare","-","adstare","ledsage, besøke, betjene","atenda","asistir, visitar, participar","-","bevista, deltaga, åhöra"
"autumn","efterår, høst","herfst-, najaars-","syksy","automnal, automne","Herbst, Herbst, herbstlich","-","autunno","aki","autumnum, autumnus","høst","outono","otoño, oto ada","-","höst"
"average","midte, gennemsnitlig, gennemsnit","gemiddeld","keskiarvo, keskipiste","moyenne","Durchschnitts..., Durchschnitt","tengah","mediocrità, media","chuutou, heikin, abere-ji, nami, chuui, narashi","-","gjennomsnitt","média","mediania, promedio","-","medeltal, medelmåttlig, genomsnitt, medelmåtta"
"avoid","undvige, undgå","mijden, uit de weg gaan, ontwijken","välttää","évitons, éviter, évitez, évitent","meide, vermeiden, vermeiden","menghindari, hindari","evitare","kaihi","abscedere, vitare","unngå","evite, evitar","rehuir, evitar","-","undvika, sky undan, väja för, undfly"
"baby","baby, spædbarn","baby","vauva","bébé","Kleinkind, Baby, baby, Baby {n}, Säugling","baybi","bebè","osanago, akachan, chinomigo, youji, akanbou, bebi-","-","spebarn","bebê","bebé, bebe, bebé","-","baby, unge"
"back","ryg, tilbage","rugstuk, achterzijde, ommezijde","selkä","foncierère, dos, postérieur, verso, râble","retour, zurück, zurück, Rücken","-","dosso, addietro, suolo","ushiro, ura, youritsu, bakku, haigo, rimen","spina, dorsum","tilbake, rygg","dorso, parte traseira","revés, reves, espalda, arredro","-","tillbaka, karm, rygg, åter, rygga"
"bacon","bacon","spek","ihra","lard","Schinkenspeck, Speck","-","lardo","be-kon","arvina","bacon, flesk","toucinho, toicinho","lardo, tocino","-","fläsk, skinka"
"bad","dårlig, ond, slet","kwalijk, slecht, beroerd, kwaad","-","mauvais, mauvais, torve","schlecht","buruk","cattivo","warui, fuka","malus","dårlig","mau","podrido","baya, bovu","elak, stygg, skämd, ond, dålig"
"bag","taske","tas, zak","säkki","fouille, étui, sac","Sack, Tasche, Koffer, Tasche, Beutel","karung, tas, sak","sacco, tasca, sacchetto, cartoccio, astuccio","hyou, kaban, fukuro, randoseru, baggu","lura, coleus","pose, sekk, veske","saco","bolsillo, bolso, saco, bolse","mfuko, gunia","påse, väska, kappsäck, bag, säck"
"bank","bred, bank","bank","ranta","bord, riverain, rive, banque","Bank, Reihe, Ufer","-","sponda, banca, riva","ginkou, kishi, teibou, banku, dote, chokinbako","-","bank","margem, banco","orilla, banco, ribera","benki","bank, strand"
"bark","bark","boomschors, schors","haukkua","écorce, coque, aboyer","Rinde, Bellen, Rinde, Borke","-","abbaio, corteccia, scorza","kawa","cortex","bjeff, bjeffe","casca","ladrido, corteza, ladrar","ganda","bark, skälla"
"basket","kurv","ben, korf, slof, mand","-","panier, corbeille","Korb, Idiot, Korb","keranjang","canestro, cesto","kago, basuketto","cophinus, calathus","kurv","cesta, cesto","cesto","kikapu","korg"
"beach","strand","strand","-","plage","Strand {m}, Strand, Badestrand {m}","pantai","lido, spiaggia","mizugiwa, umibe, umi, kaigan, bi-chi, hamabe, hama","acta, arena, litus","strand","praia","playa","-","plage, strand"
"beak","næb","bek, neb, tuit, snater, snavel","nokka","bec","Schnabel","-","becco","kuchibashi","beccus","nebb","bico","pico","-","pip, näbb"
"bear","bjørn","naar buiten brengen, dragen","kärsiä, synnyttää, tuottaa","endurer, naîs, produire, ours, souffrir, subir","Bär, tragen","derita ... menderita, lahir, menghasilkan","orso","-","ursus","bjørn","urso, padecer","soportar, oso","dubu","tåla, björn"
"beard","skæg","baard","parta","barbe, barbouze","Bart, ansprechen, Bart","janggut","barba","hige","barba","skjegg","barba","barba","ndevu","skägg"
"beautiful","smuk, skøn","schoon, fraai, knap, fijn, mooi","kaunis","beau","schön","indah, cantik","-","shan, migoto, byu-tifuru, uruwashii, tsuyayaka, ka","pulcher, formosus","vakker, skjønn, pen","belo, bonito, formoso","bello, bonito","zuri","skön, vacker"
"bed","bed, seng","perk, bed, tuinbed, bloemperk","vuode","planche, pucier, lit, plate-forme","betten, setzen, Bett, Bett, Beet","-","letto","fushido, shindai, sou, beddo, toko, nedoko, nedai","sponda","seng, seng","cama","-","kitanda","bädd, säng"
"bee","bi","honingbij, bij","mehiläinen","abeille","Wettbewerb, Biene, Biene","-","ape","hachi","-","bie","abelha","abeja","nyuki","bi"
"beer","øl","bier","olut","bière","Bier","-","birra","biiru, bakushu, bia, bi-ru","cerevisia, cervisia","øl","cerveja","cerveza","pombe","öl"
"before","-","voor","edessä","avant de, devant, avantque, avant","bevor, vor, vorn, vorher, bevor, bevor, voran","-","prima che","izen, izenni, sakini, mae, maeni, sen, temae, sou","pro","før, foran","antes","antes, ante, casamiento, antes de","kabla ya, mbele ya","förr, innan, förut, förrän, framför, före"
"behind","bagom","aan het einde, achteraan","-","arrière, croupe, derrière, cul","hinten, dahinter, Hintern, hinter, hinter, hinten","-","indietro, dietro","kouhou, ushiro, bihaindo, ato","pyga","bak","trás, atrás de","tras, detras, atrás, detrás","nyuma, nyuma ya","bakom, efter, baktill, bakefter"
"below","derunder, under","beneden, daarbeneden, onder","alla","dessous, en privé, sous, au dessous de, séquencer","unterhalb","-","sotto, abbasso, successivo, sotto","ika, kahouni, shi, shita, ji","subter, sub","under, ned","abaixo, sob","abajo, debajo, so","chini, chini ya","under, nedanför"
"beneath","under","beneden, onder","alla","sous, en privé","unten, unter, darunter, Neben","-","abbasso, sotto","shita","sub, subter","under","abaixo de, sob","debajo, so","chini ya","under"
"bicycle","cykel","fiets, rijwiel, tweewieler","polkupyörä","bécane, bicyclette","Fahrrad, Fahrad, Fahrrad, fahradfahren","-","velocipede","jitensha","-","sykkel","bicicleta","bicicleta, velocipedo","baisikeli","cykel"
"big","stor","groot","iso","mailloche, grand","wichtig, schwer","besar, raya","grande","biggu, ookii, kyo, ko, ookii, oogata, ooinaru","-","stor","grande","grande, gran","kubwa","stor"
"bill","næb, billet, regning","snavel, tuit, bek, snater, neb","lippu, nokka","bec, facture, billet, note","Rechnung, berechnen","karcis, rekening","biglietto di banca, càlcolo, becco","biru, kakekin, tsuke, seikyuusho, kuchibashi","beccus","regning, billett","factura, bico, conta, bilhete","billete, cuenta, pico, factura","-","växel, löpsedel, räkning, nota, näbb"
"bird","fugl","vogel","lintu","oiseau","Vogel","-","uccello","tori","volucris","fugl","pássaro","pájaro, ave","nyuni, ndege","fågel"
"bitter","bitter","bitter","-","amer, saumâtre","bitter","pahit","birra, acerbo, amaro","nigai, shinratsu, urameshii, tsuuretsu","amarus, acerbus, austerus","sur, bitter","amargo","amargar, agrio, amargo","chungu","hätsk, besk, bitter"
"black","sort","zwart","musta","noir, clandestin, nègre, noire","schwarz, schwarz, unsauber","hitam","nera, negro, nero, negro","kuroi, burakku, kuromeru, kuro","pullus, niger, ater","svart","preto, negro","-","eusi","svart"
"blame","skyld","aanrekenen, toeschrijven, toedichten","syyttää, moittia","blâme, gronder, blâment, blâmons, blâmez, blâmer","blamieren","-","biàsimo, criticare, colpa, biasimo","seme, tenka, hinan, kyuudan","culpa, crimen","klandre","culpar, culpa","culpa, reprender, reprimenda, reprension","-","klandra, klander, skylla på, tadel"
"blank","hvid, formular","wit, blanco, oningevuld, blank","valkea","formulaire, blanc","Leere, leer, Niete, unausgefüllt","-","biglietto non vincente, bianco","binboukuji, utsuro, buranku, kuusho","candidus, canus, albus","hvit","espaço em branco, branco","blanco, formulario, roblon, espacio en blanco","eupe","formulär, nitlott"
"blind","blind person, blind","blind","sokea","aveugle","blenden, blind, blind","-","cieco","buraindo","cæcus","blind","cortina, cego","deslumbrar, ciego, persiana","kipofu","blända, förblinda, gardin, blind"
"blood","blod","bloed","veri","sang","Blut","-","sangue","chi, ketsueki, chishio","sanguis","blod","sangue","sangre","damu","blod"
"bloom","blomst","bloem","kukka","fleur","Blüte, blühen","bunga","fiore, fiorire","-","flos","blomst","flor","flor, florecer","ua","-"
"blue","blå","blauw","sininen","bleu","trübsinnig, blau, schlüpfrig, blau","biru","turchino","aoi, ao, buru-, aoi, aoiro","-","blå","azul","azul","-","blå"
"boat","båd","boot, schuit","soutuvene","canot, embarcation, bateau","Boot, Boot, Schiff, Kahn","-","barca, barchetta","shuutei, fune, battere, fune, kobune","cumba, cymba","båt","barco","barca, bote, barca, barco","-","båt"
"body","legeme, krop","carrosserie","keho","corps","Leiche, Rumpf, Leib, Körper, Körper","badan","addome, corpo","bodi, karada, dou, hada, shinjou, shigai, shitai","corpus","legeme","corpo","cuerpo, carrocería","mwili","kropp, lekamen, karosseri, kår, bål"
"bold","tyk","gedurfd, stout, stoutmoedig, brutaal","paksu","gros, épais","fett, kühn, kühn, fett","-","grassello","zubutoi, kakan, bo-rudo, futeki, okumenmonai","-","tykk","gordo, bold(realce)","audaz, engrase, grueso","nene, nono","käck, frimodig, djärv, morsk"
"bone","ben","schonk, bot, knok, been","luu","os","Knochen","tulang","osso, spina","hone","os","ben","osso","hueso, oseo","mfupa","ben"
"book","bog, bestille","boek","kirja, tilata","commander, livre, comptabiliser, retenir","bestellen, Buch, Heft, buchen, Buch","buku","libro, registrare","bukku, hon, shoseki, hen, sasshi, chosho, chosaku","libellus","bok","livro","libro, pedir","kitabu","bok, tinga"
"bosom","bryst, barm","boezem, borst","rinta","sein, poitrine","Busen","dada","-","futokoro, uchibutokoro","-","barm, bryst","seio, peito","pecho","kifua","barm, sköte"
"boss","chef","aanvoerder, chef, gebieder, baas","päällikkö, isäntä","dabe, patron, entreprenneur","Chef","majikan","capo, imprenditore","taishou, ontai, bosu, motojime, oyadama, joushi","magister, dux","-","amo, saliência","capitán, comandante, dueño, jefe, caudillo","bwana, jumbe","chef"
"bottle","flaske","fles","pullo","flacon, moufle, bouteille","Flasche, Flache","botol","bottiglia, boccetta","botoru, bin","-","flaske","frasco, garrafa","botella, frasco","chupa","flaska, butelj"
"bowl","kumme","vont, bekken, kom","vati","globuleux, bol, bassine, cuvette, jatte","Schale","mangkuk","scodella, palla","donburibachi, wan, bo-ru, utsuwa, bouru","-","skål","tejela, bacia","cascara, cuenco, tazón","-","skål"
"box","beholder, kiste, dåse","boksen","rasia, säiliö","loge, récipient, boîte, coffre, boxez, coffret","boxen, Schachtel, Kiste, Zelle, Büchse, Box, Box","kotak","palco, scatola","kou, bokkusu, hako, sajiki","capsa, arca","-","caixa","estuche, arca","chombo, sanduku","låda, spilta, ask , lår, skrin, dosa"
"boy","tjener, dreng, knægt","knaap, jongen","poika","serviteur","Knabe, Junge","pelayan, jongos","giovinetto, ragazzo","gyaruson, bo-i, kun, bouya, karuson, otokonoko","anculus, puer","gutt","menino, rapaz","criado, muchacho, chico","mtumishi","pojke, yngling"
